"","name","permalink","square_url","small_url"
"1","Shawl/Wrap","shawl","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123623/0-5_square.jpg","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123623/0-5_small_best_fit.jpg"
"2","Shawl/Wrap","shawl","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123624/0-19_square.jpg","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123624/0-19_small_best_fit.jpg"
"3","Shawl/Wrap","shawl","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123622/0-14_square.jpg","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123622/0-14_small_best_fit.jpg"
"4","Shawl/Wrap","shawl","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123618/0-15_square.jpg","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123618/0-15_small_best_fit.jpg"
"5","Shawl/Wrap","shawl","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123626/0-22_square.jpg","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123626/0-22_small_best_fit.jpg"
"6","Shawl/Wrap","shawl","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123610/0-16_square.jpg","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123610/0-16_small_best_fit.jpg"
"7","Shawl/Wrap","shawl","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123616/0-21_square.jpg","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123616/0-21_small_best_fit.jpg"
"8","Shawl/Wrap","shawl","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123609/0-17_square.jpg","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123609/0-17_small_best_fit.jpg"
"9","Shawl/Wrap","shawl","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123614/0-11_square.jpg","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123614/0-11_small_best_fit.jpg"
"10","Shawl/Wrap","shawl","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123613/0-20_square.jpg","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123613/0-20_small_best_fit.jpg"
"11","Shawl/Wrap","shawl","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123615/0-9_square.jpg","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123615/0-9_small_best_fit.jpg"
"12","Shawl/Wrap","shawl","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123612/0-10_square.jpg","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123612/0-10_small_best_fit.jpg"
"13","Shawl/Wrap","shawl","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123625/0-12_square.jpg","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123625/0-12_small_best_fit.jpg"
"14","Shawl/Wrap","shawl","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123619/0-6_square.jpg","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123619/0-6_small_best_fit.jpg"
"15","Shawl/Wrap","shawl","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123621/0-18_square.jpg","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123621/0-18_small_best_fit.jpg"
"16","Shawl/Wrap","shawl","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123617/0-13_square.jpg","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123617/0-13_small_best_fit.jpg"
"17","Shawl/Wrap","shawl","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123611/0-8_square.jpg","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123611/0-8_small_best_fit.jpg"
"18","Shawl/Wrap","shawl","https://images4-f.ravelrycache.com/uploads/ExpressionFiber/1068123620/0-7_square.jpg","https://images4-g.ravelrycache.com/uploads/ExpressionFiber/1068123620/0-7_small_best_fit.jpg"
"19","Tank/Camisole","camisole","https://images4-f.ravelrycache.com/uploads/Mochi-knits/1063421365/0AF13D7F-4264-44F7-9B82-C78C7A582219_square.JPG","https://images4-f.ravelrycache.com/uploads/Mochi-knits/1063421365/0AF13D7F-4264-44F7-9B82-C78C7A582219_small.JPG"
"20","Tank/Camisole","camisole","https://images4-f.ravelrycache.com/uploads/Mochi-knits/1063421364/034059CA-901A-47A0-9594-98DD96116F27_square.JPEG","https://images4-f.ravelrycache.com/uploads/Mochi-knits/1063421364/034059CA-901A-47A0-9594-98DD96116F27_small.JPEG"
"21","Tank/Camisole","camisole","https://images4-g.ravelrycache.com/uploads/Mochi-knits/1068951216/3834E2C4-B7D1-4BCA-9410-487DBFF03295_square.JPG","https://images4-g.ravelrycache.com/uploads/Mochi-knits/1068951216/3834E2C4-B7D1-4BCA-9410-487DBFF03295_small_best_fit.JPG"
